,infection_site,description,OriginalReadCode,CleansedReadCode,MedCodeId,SnomedCTConceptId,SnomedCTDescriptionId,Term
44,other,Malaria,A84,A84..00,102111015.0,61462000.0,102111015.0,Malaria
45,Viral URTI,Chronic rhinitis,H120,H120.00,142764012.0,86094006.0,142764012.0,Chronic rhinitis
46,Viral URTI,Chronic catarrhal rhinitis,H1201,H120100,396095011.0,266342009.0,396095011.0,Chronic catarrhal rhinitis
47,other,Septicaemia,A38,A38..00,291664017.0,91302008.0,151281010.0,Septicaemia
48,pneumonia,Bronchopneumonia due to unspecified organism,H25,H25..00,396105015.0,396285007.0,1776258010.0,Bronchopneumonia due to unspecified organism
49,Gastrointestinal,Other salmonella infections,A02,A02..00,286071012.0,302231008.0,443815016.0,Other salmonella infections
50,bacterial URTI,Acute epiglottitis NOS,H043z,H043z00,301080012.0,29608009.0,49531010.0,Acute epiglottitis NOS
51,Viral URTI,Acute pharyngitis,H02,H02..00,486416017.0,363746003.0,486416017.0,Acute pharyngitis
52,Viral URTI,Nasal catarrh - acute,H00-4,H00..14,681561000006119.0,64531003.0,2161421018.0,Nasal catarrh - acute
53,other,Hepatitis unspecified,J633,J633.00,303506017.0,128241005.0,474350017.0,Hepatitis unspecified
54,bacterial URTI,Quinsy,H15-1,H15..11,25522012.0,15033003.0,25522012.0,Quinsy
55,other,Rubella,A56,A56..00,61155017.0,36653000.0,61155017.0,Rubella
56,Hepatobiliary,Empyema of gallbladder,J650-2,J650.12,121449018.0,73125001.0,121449018.0,Empyema of gallbladder
57,other,Other bacterial diseases,A3,A3...00,36941000006116.0,87628006.0,145291019.0,Other bacterial diseases
58,other,Genital herpes simplex,A541,A541.00,56485016.0,33839006.0,56485016.0,Genital herpes simplex
59,pneumonia,Pleurisy,H51,H51..00,301644013.0,196075003.0,301644013.0,Pleurisy
60,bacterial URTI,Acute sinusitis,H01,H01..00,26785019.0,15805002.0,26785019.0,Acute sinusitis
61,pneumonia,Acute bronchiolitis,H061,H061.00,10187013.0,5505005.0,10187013.0,Acute bronchiolitis
62,other,Myalgic encephalomyelitis,F286-5,F286.15,496413011.0,52702003.0,496413011.0,Myalgic encephalomyelitis
63,other,Viral infection NOS,A79z,A79z.00,61301000006115.0,34014006.0,56799018.0,Viral infection NOS
64,Genital,Prostatitis NOS,K21z,K21z.00,304402011.0,9713002.0,16976011.0,Prostatitis NOS
65,other,Viral labyrinthitis,F5635,F563500,2471473019.0,409711008.0,2471473019.0,Viral labyrinthitis
66,Puerperal,Breast abscess,K318,K318.00,524971000006117.0,28432003.0,47587013.0,Breast abscess
67,other,Ophthalmic herpes simplex,A544,A544.00,286746015.0,186542001.0,286746015.0,Ophthalmic herpes simplex
68,Genital,Female pelvic infection,K40z-2,K40z.12,668261000006111.0,198130006.0,304641016.0,Female pelvic infection
69,Pyelonephritis,Pyelitis unspecified,K10y1,K10y100,304085018.0,27174002.0,45445014.0,Pyelitis unspecified
70,other,Schistosomiasis - bilharziasis,AC0,AC0..00,227585011.0,10087007.0,227585011.0,Schistosomiasis - bilharziasis
71,Peritonitis,Retroperitoneal abscess,J5526,J552600,54048019.0,32362007.0,54048019.0,Retroperitoneal abscess
72,bacterial URTI,Acute bilateral otitis media,F528,F528.00,299073014.0,194290005.0,299073014.0,Acute bilateral otitis media
73,Viral URTI,Croup,H044,H044.00,118208010.0,85915003.0,142425010.0,Croup
74,Cellulitis,Erysipelas,A35,A35..00,74483012.0,44653001.0,74483012.0,Erysipelas
75,Gastrointestinal,Campylobacter gastrointestinal tract infection,A0743,A074300,533201000006116.0,18081009.0,30543016.0,Campylobacter gastrointestinal tract infection
76,Viral URTI,Coryza - acute,H00-2,H00..12,598191000006116.0,82272006.0,136465014.0,Coryza - acute
77,bacterial URTI,Acute tracheitis,H041,H041.00,44623012.0,26650005.0,44623012.0,Acute tracheitis
78,bacterial URTI,Laryngotracheitis,H042-1,H042.11,91647017.0,55130001.0,91647017.0,Laryngotracheitis
79,Bone,"Pyogenic arthritis, unspecified",N010-1,N010.11,80383012.0,48245008.0,80383012.0,Septic arthritis
80,UTI,"Urinary tract infection, site not specified",K190,K190.00,74781000006117.0,68566005.0,113884018.0,"Urinary tract infection, site not specified"
81,Genital,Cervicitis unspecified,K4200,K420000,304727015.0,37610005.0,486760016.0,Cervicitis unspecified
82,Cellulitis,[X]Cellulitis of other parts of limb,M081,M081.00,370601000006113.0,123951002.0,192440011.0,[X]Cellulitis of other parts of limb
83,UTI,Recurrent cystitis,K155,K155.00,304205011.0,197853008.0,304205011.0,Recurrent cystitis
84,pneumonia,Acute viral bronchitis unspecified,H060w,H060w00,301120012.0,233601004.0,350046011.0,Acute viral bronchitis unspecified
85,Cellulitis,Cellulitis and abscess of hand,M034-1,M034.11,540921000006112.0,267780000.0,399899017.0,Cellulitis and abscess of hand
86,other,Staphylococcal infection,A3B1,A3B1.00,93216011.0,56038003.0,93216011.0,Staphylococcal infection
87,Hepatobiliary,Infective hepatitis,A701-1,A701.11,222891000000119.0,40468003.0,67481015.0,Infective hepatitis
88,Hepatobiliary,Hepatitis in malaria,J6320,J632000,1234780014.0,83072009.0,1234780014.0,Hepatitis in malaria
89,bacterial URTI,Infection ear,F52z-1,F52z.11,780361000006114.0,129127001.0,207839010.0,Infection ear
90,Muscle,Psoas abscess,J552C-2,J552C12,396381017.0,266463007.0,396381017.0,Psoas abscess
91,other,[D]Unspecified viraemia,R107,R107.00,317668018.0,2528003.0,482897017.0,[D]Unspecified viraemia
92,UTI,Recurrent urinary tract infection,K190-1,K190.11,183141000006112.0,197927001.0,304319014.0,Recurrent urinary tract infection
93,Genital,Salpingitis unspecified,K4026,K402600,304668016.0,88157006.0,146147019.0,Salpingitis unspecified
94,pneumonia,Pneumonia due to mycoplasma pneumoniae,H231,H231.00,2164029012.0,46970008.0,494705012.0,Pneumonia due to Mycoplasma pneumoniae
95,other,Herpes labialis,A54z-1,A54z.11,821961000006114.0,1475003.0,3570019.0,Herpes labialis
96,other,Meningococcal septicaemia,A362,A362.00,492822016.0,4089001.0,492822016.0,Meningococcal septicaemia
97,other,Meningococcal infection,A36,A36..00,39482013.0,23511006.0,39482013.0,Meningococcal infection
98,Genital,Epididymitis,K241,K241.00,52004013.0,31070006.0,52004013.0,Epididymitis
99,bacterial URTI,Recurrent acute tonsillitis,H037,H037.00,301047017.0,195677001.0,301047017.0,Recurrent acute tonsillitis
100,Hepatobiliary,Chronic hepatitis,J614,J614.00,127487019.0,76783007.0,127487019.0,Chronic hepatitis
101,Hepatobiliary,Chronic aggressive hepatitis,J6142,J614200,553311000006111.0,197284004.0,303401012.0,Chronic aggressive hepatitis
102,Genital,Endometritis unspecified,K41z0,K41z000,304719012.0,78623009.0,130465017.0,Endometritis unspecified
103,other,Chickenpox,A52-1,A52..11,65259010.0,38907003.0,65259010.0,Chickenpox
104,bacterial URTI,Streptococcal sore throat,A340,A340.00,73157016.0,43878008.0,73157016.0,Streptococcal sore throat
105,Cellulitis,Cellulitis and abscess of axilla,M0331,M033100,308328016.0,200667003.0,308328016.0,Cellulitis and abscess of axilla
106,Pyelonephritis,Infections of kidney,K10,K10..00,779911000006110.0,129128006.0,207843014.0,Infections of kidney
107,Genital,Female pelvic inflammatory diseases,K4,K4...00,668281000006118.0,198130006.0,304641016.0,Female pelvic inflammatory diseases
108,other,Tuberculosis,A1,A1...00,94320019.0,56717001.0,94320019.0,Tuberculosis
109,pneumonia,Lobar (pneumococcal) pneumonia,H21,H21..00,739941000006111.0,266350000.0,396103010.0,Lobar (pneumococcal) pneumonia
110,Cellulitis,Cellulitis and abscess of back,M0322,M032200,308319017.0,200658003.0,308319017.0,Cellulitis and abscess of back
111,Pyelonephritis,Pyelonephritis unspecified,K10y0,K10y000,304084019.0,45816000.0,76408015.0,Pyelonephritis unspecified
112,Cellulitis,Cellulitis and abscess of groin,M0326,M032600,308323013.0,200662009.0,308323013.0,Cellulitis and abscess of groin
113,Hepatobiliary,Cholecystitis NOS,J651z,J651z00,303583011.0,76581006.0,127173011.0,Cholecystitis NOS
114,pneumonia,Laryngotracheobronchitis,H301,H301.00,142425010.0,85915003.0,142425010.0,Laryngotracheobronchitis
115,Genital,Hydrosalpinx,K4015,K401500,36435017.0,21711003.0,36435017.0,Hydrosalpinx
116,Genital,Acute pelvic abscess - female,K4031-1,K403111,355297014.0,237040006.0,355297014.0,Acute pelvic abscess - female
117,other,Acute gonococcal vulvovaginitis,A9802,A980200,5093017.0,2390000.0,5093017.0,Acute gonococcal vulvovaginitis
118,Peritonitis,Acute appendicitis with peritonitis,J200,J200.00,302683013.0,196781001.0,302683013.0,Acute appendicitis with peritonitis
119,Cellulitis,Cellulitis and abscess of foot unspecified,M0370,M037000,308358010.0,267783003.0,399903012.0,Cellulitis and abscess of foot unspecified
120,bacterial URTI,Tonsillitis,H03-2,H03..12,149482010.0,90176007.0,149482010.0,Tonsillitis
121,Bone,"Osteomyelitis, unspecified",N302,N302.00,400324019.0,60168000.0,99949018.0,Unspecified osteomyelitis
122,Gastrointestinal,Dysenteric diarrhoea,A0820,A082000,198017011.0,46799006.0,198017011.0,Dysenteric diarrhoea
123,other,Sepsis,A38z-1,A38z.11,151281010.0,91302008.0,151281010.0,Sepsis
124,bacterial URTI,Acute suppurative otitis media,F520,F520.00,299061014.0,194281003.0,299061014.0,Acute suppurative otitis media
125,Viral URTI,Flu like illness,H27z-1,H27z.11,762181000006116.0,95891005.0,1235951017.0,Flu like illness
126,other,Leptospirosis,AA0,AA0..00,128434017.0,77377001.0,128434017.0,Leptospirosis
127,Neuro,Viral meningitis NOS,A42z,A42z.00,395347018.0,58170007.0,96676015.0,Viral meningitis NOS
128,Peritonitis,Peritonitis,J55,J55..00,81079010.0,48661000.0,81079010.0,Peritonitis
129,other,"Tuberculosis of intestines, peritoneum and mesenteric glands",A14,A14..00,286270015.0,186225008.0,286270015.0,"Tuberculosis of intestines, peritoneum and mesenteric glands"
130,Bone,Tuberculosis of bones and joints,A151,A151.00,24141013.0,14188007.0,476139013.0,Tuberculosis of hip
131,Cellulitis,Cellulitis and abscess of knee,M0362,M036200,308351016.0,200680000.0,308351016.0,Cellulitis and abscess of knee
132,Genital,Acute prostatitis,K210,K210.00,131754019.0,79411002.0,131754019.0,Acute prostatitis
133,Gastrointestinal,Salmonella gastroenteritis,A020,A020.00,443812018.0,42338000.0,70642011.0,Salmonella gastroenteritis
134,Genital,Chronic abscess of the female pelvis,K4043,K404300,1232567014.0,64532005.0,1232567014.0,Chronic abscess of the female pelvis
135,Genital,Acute epididymitis,K2414,K241400,72542013.0,43491000.0,72542013.0,Acute epididymitis
136,Genital,Female pelvic inflammatory diseases NOS,K40z,K40z.00,396762011.0,198130006.0,304641016.0,Female pelvic inflammatory diseases NOS
137,pneumonia,Empyema,H50,H50..00,456436010.0,312682007.0,456436010.0,Empyema
138,Neuro,Unspecified meningitis,F02z,F02z.00,296830015.0,7180009.0,12838019.0,Unspecified meningitis
139,Gastrointestinal,Shigella sonnei (group D),A033,A033.00,395316012.0,4298009.0,8235019.0,Shigella sonnei (group D)
140,Hepatobiliary,Hepatitis C,A70z0,A70z000,84516016.0,50711007.0,84516016.0,Hepatitis C
141,Neuro,Meningitis due to lymphocytic choriomeningitis virus,F0115,F011500,706481000006111.0,398136003.0,1777697019.0,Meningitis due to lymphocytic choriomeningitis virus
142,Neuro,Encephalitis NOS,F03z,F03z.00,399392017.0,45170000.0,75325010.0,Encephalitis NOS
143,Bone,Other chronic osteomyelitis,N301-1,N301.11,526161000006116.0,63375009.0,105352012.0,Brodie's abscess
144,other,Mycoplasma infection,A3By3,A3By300,286619017.0,186464008.0,286619017.0,Mycoplasma infection
145,Viral URTI,Chest cold,H07,H07..00,301143015.0,50417007.0,83997014.0,Chest cold
146,Pyelonephritis,Acute pyelonephritis,K101,K101.00,61206018.0,36689008.0,61206018.0,Acute pyelonephritis
147,bacterial URTI,Mastoiditis NOS,F53z,F53z.00,299100010.0,52404001.0,87211016.0,Mastoiditis NOS
148,pneumonia,Chest infection NOS,H06z0,H06z000,396090018.0,50417007.0,83992015.0,Chest infection NOS
149,Gastrointestinal,Unspecified bacterial enteritis,A075,A075.00,286165015.0,75375008.0,125187010.0,Unspecified bacterial enteritis
150,UTI,Cystitis of pregnancy,L166-1,L166.11,411392011.0,275412000.0,411392011.0,Cystitis of pregnancy
151,Viral URTI,Upper respiratory tract infection NOS,H05z-1,H05z.11,73091000006118.0,54150009.0,89996011.0,Upper respiratory tract infection NOS
152,UTI,Chronic urinary tract infection,K1904,K190400,304321016.0,197928006.0,304321016.0,Chronic urinary tract infection
153,Cellulitis,Cellulitis and abscess of cheek,M0300-1,M030011,399896012.0,267777001.0,399896012.0,Cellulitis and abscess of cheek
154,Bone,Other chronic osteomyelitis,N301,N301.00,68341014.0,40970001.0,68341014.0,Chronic osteomyelitis
155,Cellulitis,Cellulitis and abscess of neck,M031,M031.00,399898013.0,267779003.0,399898013.0,Cellulitis and abscess of neck
156,other,Acute poliomyelitis,A40,A40..00,1777666018.0,398102009.0,1777666018.0,Acute poliomyelitis
157,Viral URTI,Catarrhal child,H1201-1,H120111,539491000006112.0,161959005.0,252422017.0,Catarrhal child
158,Genital,Parametritis unspecified,K4050,K405000,304685019.0,280483007.0,418097016.0,Parametritis unspecified
159,other,Fifth disease,A570-1,A570.11,57964015.0,34730008.0,57964015.0,Fifth disease
160,Hepatobiliary,Viral hepatitis C without mention of hepatic coma,A7050,A705000,286871011.0,50711007.0,84513012.0,Viral hepatitis C without mention of hepatic coma
161,other,HIV positive,43C3-1,43C3.11,257855012.0,165816005.0,257855012.0,HIV positive
162,Neuro,Haemophilus meningitis,F000,F000.00,296775012.0,192643004.0,296775012.0,Haemophilus meningitis
163,Cellulitis,Cellulitis and abscess of thigh,M0361,M036100,308350015.0,200679003.0,308350015.0,Cellulitis and abscess of thigh
164,Hepatobiliary,Viral (serum) hepatitis B,A703,A703.00,61061000006116.0,66071002.0,109733012.0,Viral (serum) hepatitis B
165,Cellulitis,Cellulitis and abscess of buttock,M035,M035.00,308344013.0,200676005.0,308344013.0,Cellulitis and abscess of buttock
166,Cellulitis,Cellulitis and abscess of hand unspecified,M0340,M034000,399900010.0,267780000.0,399899017.0,Cellulitis and abscess of hand unspecified
167,other,Viral myalgia,N2413,N241300,359719015.0,240107001.0,359719015.0,Viral myalgia
168,Genital,Tubo-ovarian abscess,K4022,K402200,97962011.0,58949002.0,97962011.0,Tubo-ovarian abscess
169,other,Infectious mononucleosis,A75,A75..00,406380019.0,271558008.0,406380019.0,Infectious mononucleosis
170,Pyelonephritis,Calculous pyelonephritis,K1006,K100600,39884018.0,23754003.0,39884018.0,Calculous pyelonephritis
171,Genital,Chronic prostatitis,K211,K211.00,33507011.0,19905009.0,33507011.0,Chronic prostatitis
172,UTI,Recurrent UTI,K1903-1,K190311,183171000006116.0,197927001.0,304319014.0,Recurrent UTI
173,Pyelonephritis,Infections of kidney in pregnancy,L1665,L166500,305976014.0,199110003.0,305976014.0,Infections of kidney in pregnancy
174,other,Viral gastroenteritis,A07y0,A07y000,61191000006113.0,111843007.0,179018017.0,Viral gastroenteritis
175,other,Viral illness,A79z-1,A79z.11,56807016.0,34014006.0,56807016.0,Viral illness
176,other,Giardiasis - Lambliasis,A061,A061.00,802121000006117.0,58265007.0,96833015.0,Giardiasis - Lambliasis
177,Hepatobiliary,Viral (infectious) hepatitis A,A701,A701.00,222881000000116.0,25102003.0,482836011.0,Viral (infectious) hepatitis A
178,Hepatobiliary,Viral hepatitis,A70,A70..00,7302012.0,3738000.0,7302012.0,Viral hepatitis
179,pneumonia,Tracheobronchitis NOS,H300,H300.00,301437010.0,13617004.0,23240014.0,Tracheobronchitis NOS
180,bacterial URTI,Scarlatina,A341-2,A341.12,50619017.0,30242009.0,50619017.0,Scarlatina
181,Cellulitis,Cellulitis and abscess of elbow,M0333,M033300,308330019.0,200669000.0,308330019.0,Cellulitis and abscess of elbow
182,Viral URTI,Acute nasopharyngitis,H00,H00..00,136470019.0,82272006.0,136470019.0,Acute nasopharyngitis
183,Bone,Tuberculosis of spine,A150,A150.00,1228336010.0,35984006.0,1228336010.0,Tuberculosis of vertebral column - Pott's
184,other,Tuberculosis of kidney,A160,A160.00,73938014.0,44323002.0,73938014.0,Tuberculosis of kidney
185,Gastrointestinal,"Infectious colitis, enteritis and gastroenteritis NOS",A080z,A080z00,286182018.0,715852004.0,3303930018.0,"Infectious colitis, enteritis and gastroenteritis NOS"
186,pneumonia,Lower resp tract infection,H06z1,H06z100,733471000006110.0,50417007.0,83992015.0,Lower resp tract infection
187,Cellulitis,Cellulitis and abscess of toe unspecified,M0210,M021000,308283013.0,200638004.0,308282015.0,Cellulitis and abscess of toe unspecified
188,other,Streptococcal infection,A3B0,A3B0.00,142176018.0,85769006.0,142176018.0,Streptococcal infection
189,Cellulitis,Cellulitis and abscess of arm,M033,M033.00,308326017.0,449717009.0,2913219010.0,Cellulitis and abscess of arm
190,Cellulitis,Cellulitis and abscess of wrist,M0341,M034100,308342012.0,200674008.0,308342012.0,Cellulitis and abscess of wrist
191,UTI,Chronic cystitis unspecified,K152y,K152y00,304186019.0,33655002.0,56180018.0,Chronic cystitis unspecified
192,other,Trachoma,A76,A76..00,5391012.0,2576002.0,5391012.0,Trachoma
193,other,"Hand, foot and mouth disease",A743,A743.00,2162360015.0,266108008.0,395360012.0,"Hand, foot and mouth disease"
194,other,Dermatitis herpetiformis,M140,M140.00,178429018.0,111196000.0,178429018.0,Dermatitis herpetiformis
195,Cellulitis,Cellulitis and abscess of finger unspecified,M0200,M020000,308270012.0,200630006.0,308269011.0,Cellulitis and abscess of finger unspecified
196,Bone,Tuberculosis of bones and joints,A15,A15..00,1494889019.0,17653001.0,1494889019.0,Tuberculosis of bones and joints
197,Cellulitis,Cellulitis and abscess of hip,M0360,M036000,308349015.0,200678006.0,308349015.0,Cellulitis and abscess of hip
198,bacterial URTI,Peritonsillar abscess - quinsy,H15,H15..00,229081000006112.0,15033003.0,25521017.0,Peritonsillar abscess - quinsy
199,Pyelonephritis,Perinephric abscess,K1021,K102100,133779010.0,80640009.0,133779010.0,Perinephric abscess
200,other,Sepsis of the newborn,Q40A,Q40A.00,316478018.0,206376005.0,316478018.0,Sepsis of the newborn
201,pneumonia,Basal pneumonia due to unspecified organism,H261,H261.00,451130014.0,300999006.0,442211014.0,Basal pneumonia due to unspecified organism
202,bacterial URTI,Acute left otitis media,F526,F526.00,299071011.0,194288009.0,299071011.0,Acute left otitis media
203,other,Tuberculous - cervical lymphadenitis,A1720,A172000,82801000006118.0,54084005.0,496856013.0,Tuberculous - cervical lymphadenitis
204,other,Mycotic mycetomas,AB64,AB64.00,683761000006114.0,410038006.0,2477702018.0,Mycotic mycetomas
205,other,Treponemal infection,A97-2,A97..12,503244019.0,76272004.0,503244019.0,Treponemal infection
206,Viral URTI,Rhinitis - acute,H00-6,H00..16,162421000006116.0,82272006.0,136468011.0,Rhinitis - acute
207,UTI,Tuberculosis of bladder,A161,A161.00,53904019.0,32268008.0,53904019.0,Tuberculosis of bladder
208,bacterial URTI,Bordetella pertussis,A330,A330.00,9799018.0,26484003.0,483240018.0,Bordetella pertussis
209,Gastrointestinal,Enteritis due to Yersinia enterocolitica,A0744,A074400,1234534014.0,711167005.0,3047859018.0,Enteritis due to Yersinia enterocolitica
210,Neuro,Arachnoiditis,F023,F023.00,14563011.0,8217007.0,14563011.0,Arachnoiditis
211,Neuro,Meningitis of unspecified cause,F02,F02..00,296826018.0,7180009.0,12838019.0,Meningitis of unspecified cause
212,other,Dengue - breakbone fever,A61,A61..00,612911000006118.0,38362002.0,63435016.0,Dengue - breakbone fever
213,Gastrointestinal,Bacillary dysentery,A030-1,A030.11,409836012.0,274081004.0,409836012.0,Bacillary dysentery
214,Cellulitis,Cellulitis and abscess of toe,M021,M021.00,308282015.0,200638004.0,308282015.0,Cellulitis and abscess of toe
215,other,Gonococcal infections,A98,A98..00,805381000006112.0,15628003.0,26490015.0,Gonococcal infections
216,Cellulitis,Cellulitis and abscess of face,M030,M030.00,308300010.0,200645004.0,308300010.0,Cellulitis and abscess of face
217,bacterial URTI,Acute follicular tonsillitis,H031,H031.00,301036012.0,195667003.0,301036012.0,Acute follicular tonsillitis
218,Neuro,Mumps encephalitis,F0305-1,F030511,52880019.0,31646008.0,52880019.0,Mumps encephalitis
219,Cellulitis,Gonococcal cellulitis,A98yy-4,A98yy14,360374010.0,240584003.0,360374010.0,Gonococcal cellulitis
220,Peritonitis,Appendix abscess,J201-2,J201.12,221031000000117.0,62224002.0,1232298010.0,Appendix abscess
221,other,Helminthiasis NOS,AC8z,AC8z.00,287856017.0,27601005.0,46188015.0,Helminthiasis NOS
222,Gastrointestinal,Typhoid fever,A010,A010.00,9059014.0,4834000.0,9059014.0,Typhoid fever
223,Bone,"Pyogenic arthritis, unspecified",N010,N010.00,495040011.0,372939007.0,1229170014.0,Pyogenic arthritis
224,Cellulitis,Cellulitis NOS,M03z0,M03z000,308368017.0,128045006.0,474280013.0,Cellulitis NOS
225,Viral URTI,Recurrent upper respiratory tract infection,H054,H054.00,301088017.0,195708003.0,301088017.0,Recurrent upper respiratory tract infection
226,other,Lyme disease,A8710,A871000,39462014.0,23502006.0,39462014.0,Lyme disease
227,other,TB chemotherapy,8BAD1,8BAD100,282858010.0,182975000.0,282858010.0,TB chemotherapy
228,Pyelonephritis,Infection of kidney NOS,K10z,K10z.00,304091016.0,129128006.0,207842016.0,Infection of kidney NOS
229,other,Tuberculosis of peripheral lymph nodes,A172,A172.00,127902015.0,77038006.0,127902015.0,Tuberculosis of peripheral lymph nodes
230,Viral URTI,Laryngitis sicca,H1604,H160400,98755014.0,59454008.0,98755014.0,Laryngitis sicca
231,Gastrointestinal,Paratyphoid fever NOS,A01z,A01z.00,286070013.0,85904008.0,142408013.0,Paratyphoid fever NOS
232,Neuro,Herpetic meningoencephalitis,A543,A543.00,16921016.0,9678009.0,16921016.0,Herpetic meningoencephalitis
233,Viral URTI,Chronic pharyngitis,H121,H121.00,1284016.0,140004.0,1284016.0,Chronic pharyngitis
234,Cellulitis,Orbital cellulitis,F4G01,F4G0100,298680016.0,194005002.0,298680016.0,Orbital cellulitis
235,bacterial URTI,Acute right otitis media,F527,F527.00,299072016.0,194289001.0,299072016.0,Acute right otitis media
236,Cellulitis,Cellulitis and abscess of chest wall,M0320,M032000,308317015.0,200656004.0,308317015.0,Cellulitis and abscess of chest wall
237,Neuro,Streptococcal meningitis,F002,F002.00,7767019.0,4510004.0,7767019.0,Streptococcal meningitis
238,Cellulitis,Cellulitis and abscess of perineum,M0327,M032700,308324019.0,200663004.0,308324019.0,Cellulitis and abscess of perineum
239,Hepatobiliary,Hepatitis in cytomegalic inclusion virus,J6311,J631100,2475553015.0,186698009.0,2475553015.0,Hepatitis in cytomegalic inclusion virus
