,Condition,MedCodeId,SnomedCTConceptId,SnomedCTDescriptionId,OriginalReadCode,CleansedReadCode,Term
25,Constipation,303166010.0,14760008.0,25076018.0,19CZ,19CZ.00,Constipation NOS
26,Constipation,303161017.0,197118003.0,303161017.0,J520,J520.00,Constipation - functional
27,Constipation,484894013.0,31499008.0,484894013.0,J5201,J520100,Chronic constipation with overflow
28,Constipation,303163019.0,197120000.0,303163019.0,J5202,J520200,Chronic constipation without overflow
29,Constipation,630451000006116.0,21782001.0,36557014.0,J5203,J520300,Drug-induced constipation
30,Constipation,353853017.0,236069009.0,353853017.0,J5204,J520400,Chronic constipation
31,Constipation,303165014.0,14760008.0,25076018.0,J520y,J520y00,Other specified constipation
32,Constipation,590101000006113.0,14760008.0,25076018.0,J520z,J520z00,Constipation NOS
33,Constipation,2791650019.0,440630006.0,2791650019.0,J5211,J521100,Irritable bowel syndrome characterised by constipation
34,Fibromyalgia,709441000006113.0,203082005.0,311662010.0,N239,N239.00,Fibromyalgia
35,Fibromyalgia,41386013.0,203082005.0,311662010.0,N248,N248.00,Fibromyalgia
36,Hyperprolactinaemia and prolactinoma,258562011.0,131008004.0,210653017.0,44351,4435100,Increased prolactin level
37,Hyperprolactinaemia and prolactinoma,1228164013.0,34337008.0,1228163019.0,BB5y4,BB5y400,[M] Prolactinoma
38,Hyperprolactinaemia and prolactinoma,356195018.0,237662005.0,356195018.0,C1310,C131000,Hyperprolactinaemia
39,Hypopituitarism,496407019.0,52699005.0,496407019.0,7100,7100.00,Excision of pituitary gland
40,Hypopituitarism,266290016.0,52699005.0,87695016.0,7100y,7100y00,Other specified excision of pituitary gland
41,Hypopituitarism,410873011.0,52699005.0,87695016.0,7100z,7100z00,Excision of pituitary gland NOS
42,Hypopituitarism,505703019.0,83646004.0,505703019.0,7101,7101.00,Destruction of pituitary gland
43,Hypopituitarism,54086011.0,32390006.0,54086011.0,C132,C132.00,Panhypopituitarism
44,Hypopituitarism,356224019.0,74728003.0,124098019.0,C132-1,C132.11,Hypopituitarism
45,Hypopituitarism,356227014.0,237684005.0,356227014.0,C132-2,C132.12,Sheehan's syndrome
46,Hypopituitarism,292709019.0,190470005.0,292709019.0,C1320,C132000,Idiopathic panhypopituitarism
47,Hypopituitarism,292710012.0,190471009.0,292710012.0,C1321,C132100,Post-birth injury panhypopituitarism
48,Hypopituitarism,211291000006112.0,190472002.0,292711011.0,C1322,C132200,Postinfarction panhypopituitarism
49,Hypopituitarism,211361000006114.0,271386001.0,406156010.0,C1323,C132300,Postinfective panhypopituitarism
50,Hypopituitarism,292713014.0,32390006.0,54086011.0,C132y,C132y00,Other specified panhypopituitarism
51,Hypopituitarism,292714015.0,32390006.0,54086011.0,C132z,C132z00,Panhypopituitarism NOS
52,Hypopituitarism,492180012.0,367460001.0,492180012.0,C133,C133.00,Pituitary dwarfism
53,Hypopituitarism,721901000006110.0,2109003.0,4651014.0,C1330,C133000,Isolated growth hormone deficiency
54,Hypopituitarism,398800015.0,367460001.0,492180012.0,C133y,C133y00,Other specified pituitary dwarfism
55,Hypopituitarism,292723017.0,367460001.0,492180012.0,C133z,C133z00,Pituitary dwarfism NOS
56,Hypopituitarism,292724011.0,51742006.0,86162019.0,C134,C134.00,Disorder of anterior pituitary
58,Hypopituitarism,133724019.0,80599001.0,133724019.0,C1344,C134400,Isolated ACTH deficiency
59,Hypopituitarism,356242012.0,237692001.0,356242012.0,C1344-1,C134411,ACTH deficiency
60,Hypopituitarism,356286019.0,2851000119101.0,3012752019.0,C134z-1,C134z11,Anterior pituitary hormone deficiency
61,Hypopituitarism,494186019.0,45369008.0,494186019.0,C135-2,C135.12,Diabetes insipidus - pituitary
62,Hypopituitarism,223331000000116.0,86842008.0,144020013.0,C137,C137.00,Iatrogenic pituitary disorder
63,Hypopituitarism,356248011.0,237698002.0,356248011.0,C137-1,C137.11,Iatrogenic hypopituitarism
64,Hypopituitarism,6203011.0,3072001.0,6203011.0,C1370,C137000,Hormone-induced hypopituitarism
65,Hypopituitarism,508884019.0,90182005.0,508884019.0,C1371,C137100,Post-hypophysectomy hypopituitarism
66,Hypopituitarism,508883013.0,90182005.0,508883013.0,C1371-1,C137111,Surgically-induced hypopituitarism
68,Hypopituitarism,356276015.0,237722004.0,356276015.0,C138,C138.00,Empty sella syndrome
69,Hypopituitarism,56637011.0,33927004.0,56637011.0,C139,C139.00,Hypogonadotropic hypogonadism
70,Hypopituitarism,356251016.0,237701005.0,356251016.0,C13A,C13A.00,Pituitary apoplexy
71,Hypopituitarism,510382019.0,93559003.0,510382019.0,C1721-1,C172111,Kallman's syndrome
72,Hypopituitarism,682681000006115.0,14289006.0,24295012.0,F3952,F395200,Myopathy due to hypopituitarism
74,Learning disability,2435151000000112.0,954731000000103.0,2435151000000112.0,13VC9,13VC900,Intellectual development disorder of unknown aetiology
75,Learning disability,1140131000000110.0,512711000000104.0,1140131000000110.0,14g,14g..00,History of developmental disorder
76,Learning disability,2388891000000118.0,716710007.0,3307284014.0,14g0,14g0.00,Early childhood developmental disability
77,Learning disability,1939571000006115.0,954711000000106.0,2435131000000117.0,14g00,14g0000,Early childhood developmental disability of unknown aetiology
78,Learning disability,1941111000006118.0,718440004.0,3312281015.0,38VB,38VB.00,Clinical Outcomes in Routine Evaluation Learning Disabilities
79,Learning disability,2548475019.0,416075005.0,2548475019.0,918e,918e.00,On learning disability register
80,Learning disability,1158321000000112.0,518741000000100.0,1158321000000112.0,94Z9,94Z9.00,Preferred place of death: learning disability unit
85,Learning disability,2474674015.0,413126003.0,2474674015.0,9HB3,9HB3.00,Learning disabilities health assessment
99,Learning disability,2249771000000115.0,870651000000103.0,2249771000000115.0,9Nh4,9Nh4.00,Under care of community learning disability team
100,Learning disability,2403181000000114.0,716569003.0,3306662014.0,9Nlh,9Nlh.00,Seen by learning disability team
101,Learning disability,295633011.0,161129001.0,251223010.0,E2F2,E2F2.00,Specific learning difficulty
102,Learning disability,133891000006115.0,268672004.0,401825015.0,E2F3,E2F3.00,Disorder of speech and language development
103,Learning disability,295642016.0,268672004.0,401825015.0,E2F3z,E2F3z00,Speech or language developmental disorder NOS
104,Learning disability,295652017.0,5294002.0,9881017.0,E2Fz,E2Fz.00,Developmental disorder NOS
105,Learning disability,151009017.0,110359009.0,3643707012.0,E3,E3...00,Mental retardation
106,Learning disability,507246016.0,86765009.0,507246016.0,E30,E30..00,"Mild mental retardation, IQ in range 50-70"
108,Learning disability,667621000006119.0,86765009.0,507246016.0,E30-2,E30..12,Feeble-minded
109,Learning disability,215821000000119.0,86765009.0,507246016.0,E30-3,E30..13,Moron
110,Learning disability,9881000006115.0,110359009.0,175156010.0,E31,E31..00,Other specified mental retardation
111,Learning disability,700071000006118.0,61152003.0,3643518014.0,E310,E310.00,"Moderate mental retardation, IQ in range 35-49"
112,Learning disability,785941000006115.0,61152003.0,3643518014.0,E310-1,E310.11,Imbecile
113,Learning disability,146051000006113.0,40700009.0,3643515012.0,E311,E311.00,"Severe mental retardation, IQ in range 20-34"
114,Learning disability,201751000006110.0,31216003.0,3643527010.0,E312,E312.00,Profound mental retardation with IQ less than 20
115,Learning disability,787151000006113.0,31216003.0,3643527010.0,E312-1,E312.11,Idiocy
116,Learning disability,295662012.0,110359009.0,175156010.0,E31z,E31z.00,Other specified mental retardation NOS
117,Learning disability,295661017.0,110359009.0,175156010.0,E3y,E3y..00,Other specified mental retardation
118,Learning disability,295664013.0,110359009.0,175156010.0,E3z,E3z..00,Intellectual disability
119,Learning disability,398231000006111.0,110359009.0,3643707012.0,Eu7,Eu7..00,[X]Mental retardation
120,Learning disability,398381000006119.0,86765009.0,507246016.0,Eu70,Eu70.00,[X]Mild mental retardation
121,Learning disability,398411000006116.0,86765009.0,507246016.0,Eu70-2,Eu70.12,[X]Mild mental subnormality
122,Learning disability,398661000006116.0,86765009.0,143892017.0,Eu700,Eu70000,[X]Mld mental retard with statement no or min impairm behav
123,Learning disability,398651000006118.0,86765009.0,143892017.0,Eu701,Eu70100,[X]Mld mental retard sig impairment behav req attent/treatmt
124,Learning disability,296557014.0,86765009.0,143892017.0,Eu70y,Eu70y00,"[X]Mild mental retardation, other impairments of behaviour"
125,Learning disability,398391000006116.0,86765009.0,3643513017.0,Eu70z,Eu70z00,Mild intellectual disability
126,Learning disability,398811000006118.0,61152003.0,3643518014.0,Eu71,Eu71.00,Moderate intellectual disability
127,Learning disability,398821000006114.0,61152003.0,3643518014.0,Eu71-1,Eu71.11,[X]Moderate mental subnormality
128,Learning disability,398771000006118.0,61152003.0,101619019.0,Eu710,Eu71000,[X]Mod mental retard with statement no or min impairm behav
129,Learning disability,398761000006113.0,61152003.0,101619019.0,Eu711,Eu71100,[X]Mod mental retard sig impairment behav req attent/treatmt
130,Learning disability,296565012.0,61152003.0,101619019.0,Eu71y,Eu71y00,[X]Mod retard oth behav impair
131,Learning disability,398781000006115.0,61152003.0,3643518014.0,Eu71z,Eu71z00,[X]Mod mental retardation without mention impairment behav
132,Learning disability,426591000006111.0,40700009.0,3643515012.0,Eu72,Eu72.00,Severe intellectual disability
133,Learning disability,426611000006117.0,40700009.0,3643515012.0,Eu72-1,Eu72.11,[X]Severe mental subnormality
134,Learning disability,426531000006112.0,40700009.0,67882016.0,Eu720,Eu72000,[X]Sev mental retard with statement no or min impairm behav
135,Learning disability,426521000006114.0,40700009.0,67882016.0,Eu721,Eu72100,[X]Sev mental retard sig impairment behav req attent/treatmt
136,Learning disability,296574014.0,40700009.0,67882016.0,Eu72y,Eu72y00,"[X]Severe mental retardation, other impairments of behaviour"
137,Learning disability,426541000006119.0,40700009.0,3643515012.0,Eu72z,Eu72z00,[X]Sev mental retardation without mention impairment behav
138,Learning disability,423501000006112.0,31216003.0,3643527010.0,Eu73,Eu73.00,Profound intellectual disability
139,Learning disability,423521000006119.0,31216003.0,3643527010.0,Eu73-1,Eu73.11,[X]Profound mental subnormality
140,Learning disability,423491000006116.0,31216003.0,52225019.0,Eu730,Eu73000,[X]Profound ment retrd wth statement no or min impairm behav
141,Learning disability,423481000006119.0,31216003.0,52225019.0,Eu731,Eu73100,[X]Profound ment retard sig impairmnt behav req attent/treat
142,Learning disability,423511000006110.0,31216003.0,52225019.0,Eu73y,Eu73y00,"[X]Profound mental retardation, other impairments of behavr"
143,Learning disability,423361000006118.0,31216003.0,52225019.0,Eu73z,Eu73z00,[X]Prfnd mental retardation without mention impairment behav
144,Learning disability,296586012.0,110359009.0,175156010.0,Eu7y,Eu7y.00,[X]Other mental retardation
145,Learning disability,404861000006115.0,110359009.0,175156010.0,Eu7y0,Eu7y000,[X]Oth mental retard with statement no or min impairm behav
146,Learning disability,404851000006117.0,110359009.0,175156010.0,Eu7y1,Eu7y100,[X]Oth mental retard sig impairment behav req attent/treatmt
147,Learning disability,296592018.0,110359009.0,175156010.0,Eu7yy,Eu7yy00,"[X]Other mental retardation, other impairments of behaviour"
148,Learning disability,411791000006118.0,110359009.0,175156010.0,Eu7yz,Eu7yz00,[X]Other mental retardation without mention impairment behav
149,Learning disability,401902015.0,110359009.0,175156010.0,Eu7z,Eu7z.00,[X]Unspecified mental retardation
150,Learning disability,398201000006115.0,110359009.0,175156010.0,Eu7z-1,Eu7z.11,[X]Mental deficiency NOS
151,Learning disability,398251000006116.0,110359009.0,175156010.0,Eu7z-2,Eu7z.12,[X]Mental subnormality NOS
152,Learning disability,430061000006113.0,110359009.0,175156010.0,Eu7z0,Eu7z000,[X]Unsp mental retard with statement no or min impairm behav
153,Learning disability,430081000006115.0,110359009.0,175156010.0,Eu7z1,Eu7z100,[X]Unsp mentl retard sig impairment behav req attent/treatmt
154,Learning disability,431231000006115.0,110359009.0,175156010.0,Eu7zy,Eu7zy00,"[X]Unspecified mental retardatn, other impairments of behav"
155,Learning disability,430071000006118.0,110359009.0,175156010.0,Eu7zz,Eu7zz00,[X]Unsp mental retardation without mention impairment behav
156,Learning disability,427261000006119.0,268672004.0,401825015.0,Eu80,Eu80.00,[X]Specific developmental disorders of speech and language
157,Learning disability,401906017.0,268672004.0,401825015.0,Eu80y,Eu80y00,[X]Other developmental disorders of speech and language
158,Learning disability,376891000006117.0,268672004.0,401825015.0,Eu80z,Eu80z00,[X]Developmental disorder of speech and language unspecified
159,Learning disability,296643017.0,1855002.0,4203013.0,Eu81,Eu81.00,[X]Specific developmental disorders of scholastic skills
160,Learning disability,1129811000000119.0,984671000000103.0,2504061000000114.0,Eu814,Eu81400,Moderate learning disability
161,Learning disability,1129781000000117.0,508171000000105.0,1129801000000116.0,Eu815,Eu81500,Severe learning disability
162,Learning disability,1550041000000110.0,984661000000105.0,2504041000000113.0,Eu816,Eu81600,Mild learning disability
163,Learning disability,1550051000000113.0,984681000000101.0,2504081000000117.0,Eu817,Eu81700,Profound learning disability
164,Learning disability,1887331000006119.0,889211000000104.0,2290291000000110.0,Eu818,Eu81800,Specific learning disability
165,Learning disability,401909012.0,1855002.0,4203013.0,Eu81y,Eu81y00,[X]Other developmental disorders of scholastic skills
166,Learning disability,296657015.0,1855002.0,478661012.0,Eu81z,Eu81z00,Developmental disorder of scholastic skill
167,Learning disability,395061000006117.0,1855002.0,478664016.0,Eu81z-1,Eu81z11,Learning disability
168,Learning disability,395071000006112.0,1855002.0,478661012.0,Eu81z-2,Eu81z12,[X]Learning disorder NOS
169,Learning disability,395051000006119.0,110359009.0,3643707012.0,Eu81z-3,Eu81z13,[X]Learn acquisition disab NOS
170,Learning disability,1495285013.0,268674003.0,401828018.0,Eu82,Eu82.00,[X]Specific developmental disorder of motor function
171,Learning disability,296663012.0,442059001.0,2819191012.0,Eu83,Eu83.00,Mixed developmental disorder
172,Learning disability,420581000006111.0,35919005.0,3078949014.0,Eu84,Eu84.00,Autism spectrum disorder
173,Learning disability,398241000006118.0,231536004.0,347022013.0,Eu841-2,Eu84112,[X]Mental retardation with autistic features
174,Learning disability,417681000006116.0,35919005.0,59939011.0,Eu844,Eu84400,[X]Overactive disorder assoc mental retard/stereotype movts
175,Learning disability,296678017.0,35919005.0,59939011.0,Eu84y,Eu84y00,[X]Other pervasive developmental disorders
176,Learning disability,296679013.0,35919005.0,3078949014.0,Eu84z,Eu84z00,"[X]Pervasive developmental disorder, unspecified"
177,Learning disability,424181000006111.0,192562009.0,296607011.0,Eu8z-1,Eu8z.11,[X]Psychological developmental disorder NOS
178,Learning disability,2900005013.0,448045004.0,2900005013.0,F1y0,F1y0.00,Fragile X associated tremor ataxia syndrome
179,Learning disability,628281000006114.0,41040004.0,598021000000114.0,PJ0,PJ0..00,Down's syndrome
180,Learning disability,68472012.0,41040004.0,598021000000114.0,PJ0-1,PJ0..11,Mongolism
181,Learning disability,222121000000113.0,41040004.0,68470016.0,PJ0-2,PJ0..12,Trisomy 21
182,Learning disability,378493013.0,41040004.0,598021000000114.0,PJ0z,PJ0z.00,Down's syndrome NOS
183,Learning disability,1224878018.0,41040004.0,222121000000113.0,PJ0z-1,PJ0z.11,Trisomy 21 NOS
184,Learning disability,239991000006111.0,21111006.0,35483012.0,PJ1,PJ1..00,Patau syndrome
185,Learning disability,378500015.0,254268004.0,378500015.0,PJ12-1,PJ12.11,Partial trisomy 13 in Patau's syndrome
186,Learning disability,378499012.0,21111006.0,35482019.0,PJ1z,PJ1z.00,Patau's syndrome NOS
187,Learning disability,636711000006113.0,51500006.0,85776017.0,PJ2,PJ2..00,Edward's syndrome - trisomy 18
188,Learning disability,378497014.0,254266000.0,378497014.0,PJ22-1,PJ22.11,Partial trisomy 18 in Edward's syndrome
189,Learning disability,378496017.0,51500006.0,85775018.0,PJ2z,PJ2z.00,Edward's syndrome NOS
190,Learning disability,315486012.0,205720009.0,315486012.0,PJyy2,PJyy200,Fragile X chromosome
191,Learning disability,2090010.0,613003.0,2090010.0,PJyy4,PJyy400,Fragile X syndrome
192,Learning disability,342177013.0,228156007.0,342177013.0,13VCA,,Intellectual functioning disability
193,Learning disability,1821361000006110.0,228156007.0,1821361000006110.0,EMISNQIN133,,Intellectual functioning disability
194,Learning disability,296657015.0,1855002.0,478661012.0,Eu81z,Eu81z00,Developmental disorder of scholastic skill
195,Learning disability,395061000006117.0,1855002.0,478664016.0,Eu81z-1,Eu81z11,Learning disability
196,Learning disability,1620441000006116.0,1620441000006100.0,1620441000006116.0,EMISNQLE5,,Learning disability
197,Learning disability,6762801000006118.0,408468001.0,2163986010.0,,,Learning disability
211,Nasal polyp,255593013.0,736499003.0,3517886017.0,2D33,2D33.00,O/E - nasal polyp present
212,Nasal polyp,451074013.0,307723009.0,451074013.0,74029,7402900,Excision of polyp of nasal septum
213,Nasal polyp,451073019.0,307723009.0,451073019.0,74029-1,7402911,Nasal septum polypectomy
214,Nasal polyp,267569019.0,172825008.0,267569019.0,74060,7406000,Nasal polypectomy
215,Nasal polyp,456346011.0,312595006.0,456346011.0,74067,7406700,Nasal polypectomy using auto-debrider
216,Nasal polyp,912771000006112.0,401307002.0,1780494010.0,7416F,7416F00,Functional endoscopic sinus surgery - polypectomy of nasal sinus
217,Nasal polyp,681691000006114.0,736499003.0,3517886017.0,H11,H11..00,Polyp of nasal cavity and/or nasal sinus
218,Nasal polyp,87782018.0,736499003.0,3517886017.0,H110,H110.00,Polyp of nasal cavity
219,Nasal polyp,51348012.0,30677002.0,51348012.0,H1100,H110000,Choanal polyp
220,Nasal polyp,51349016.0,30677002.0,51349016.0,H1101,H110100,Nasopharyngeal polyp
221,Nasal polyp,301156010.0,32307003.0,53968018.0,H110z,H110z00,Polyp of nasal cavity NOS
222,Nasal polyp,44865016.0,26808007.0,44865016.0,H111,H111.00,Polypoid sinus degeneration
223,Nasal polyp,301158011.0,195756009.0,301158011.0,H1110,H111000,Woakes' ethmoiditis
224,Nasal polyp,301159015.0,26808007.0,44865016.0,H111z,H111z00,Polypoid sinus degeneration NOS
225,Nasal polyp,396094010.0,32307003.0,53968018.0,H11y,H11y.00,Other polyp of sinus
226,Nasal polyp,681821000006111.0,32307003.0,53968018.0,H11y-1,H11y.11,Nasal sinus polyps
227,Nasal polyp,301163010.0,195759002.0,301163010.0,H11y0,H11y000,Polyp of frontal sinus
228,Nasal polyp,40240015.0,23966000.0,40240015.0,H11y1,H11y100,Polyp of ethmoidal sinus
229,Nasal polyp,48663018.0,29074008.0,48663018.0,H11y2,H11y200,Polyp of maxillary sinus
230,Nasal polyp,484189011.0,29074008.0,484189011.0,H11y2-1,H11y211,Antral (maxillary) polyp
231,Nasal polyp,150282011.0,90685008.0,150282011.0,H11y3,H11y300,Polyp of sphenoidal sinus
232,Nasal polyp,301170010.0,32307003.0,53968018.0,H11yz,H11yz00,Other polyp of sinus NOS
233,Nasal polyp,301171014.0,32307003.0,53968018.0,H11z,H11z.00,Polyp of nasal sinus
234,Nasal polyp,301826015.0,32307003.0,53968018.0,Hyu23,Hyu2300,Polyp of nasal sinus
237,Other anaemias,257182019.0,165396004.0,257182019.0,4234,4234.00,Haemoglobin very low
238,Other anaemias,257185017.0,165397008.0,257185017.0,4235,4235.00,Haemoglobin low
239,Other anaemias,399193019.0,267513007.0,399193019.0,D0,D0...00,Deficiency anaemias
240,Other anaemias,789001000006115.0,44666001.0,493975011.0,D00-1,D00..11,Hypochromic - microcytic anaemia
241,Other anaemias,703501000006114.0,44666001.0,493975011.0,D00-2,D00..12,Microcytic - hypochromic anaemia
242,Other anaemias,493975011.0,44666001.0,493975011.0,D00y1,D00y100,Microcytic hypochromic anaemia
243,Other anaemias,293885013.0,191136008.0,293885013.0,D00z2,D00z200,Idiopathic hypochromic anaemia
244,Other anaemias,399196010.0,267513007.0,399193019.0,D01,D01..00,Other deficiency anaemias
245,Other anaemias,496576014.0,53165003.0,496576014.0,D01-1,D01..11,Megaloblastic anaemia
246,Other anaemias,351101015.0,234358000.0,351101015.0,D0121-2,D012112,Megaloblastic anaemia due to dietary causes
247,Other anaemias,731981000006116.0,83414005.0,505602015.0,D0125,D012500,Macrocytic anaemia
248,Other anaemias,293946019.0,53165003.0,88429014.0,D013,D013.00,Other specified megaloblastic anaemia NEC
249,Other anaemias,293949014.0,53165003.0,88429014.0,D013z,D013z00,Other specified megaloblastic anaemia NEC NOS
250,Other anaemias,293952018.0,85746008.0,142125016.0,D014,D014.00,Protein-deficiency anaemia
251,Other anaemias,479141000006117.0,85746008.0,142125016.0,D0140,D014000,Amino-acid deficiency anaemia
252,Other anaemias,41521000006112.0,47641009.0,79408019.0,D0141,D014100,Orotic aciduria
253,Other anaemias,293956015.0,85746008.0,142125016.0,D014z,D014z00,Anemia due to protein deficiency
254,Other anaemias,293959010.0,267513007.0,399192012.0,D01y,D01y.00,Other specified nutritional deficiency anaemia
255,Other anaemias,293961018.0,191161006.0,293961018.0,D01y0,D01y000,Vitamin C deficiency anaemia
256,Other anaemias,293965010.0,24962009.0,482070013.0,D01y1,D01y100,Anaemia due to vitamin E deficiency
257,Other anaemias,293966011.0,267513007.0,399192012.0,D01yy,D01yy00,Other specified other nutritional deficiency anaemia
258,Other anaemias,293969016.0,267513007.0,399192012.0,D01yz,D01yz00,Other specified nutritional deficiency anaemia NOS
259,Other anaemias,399205010.0,267513007.0,399193019.0,D01z,D01z.00,Other deficiency anaemias NOS
260,Other anaemias,351100019.0,53165003.0,496576014.0,D01z-1,D01z.11,Megaloblastic anaemia NOS
261,Other anaemias,293977017.0,53165003.0,496576014.0,D01z0,D01z000,[X]Megaloblastic anaemia NOS
262,Other anaemias,293978010.0,267513007.0,399193019.0,D0y,D0y..00,Other specified deficiency anaemias
263,Other anaemias,293981017.0,267513007.0,399193019.0,D0z,D0z..00,Deficiency anaemias NOS
264,Other anaemias,294021010.0,19442009.0,2770070012.0,D1041,D104100,Thalassaemia minor
265,Other anaemias,294032010.0,191187006.0,294032010.0,D1044,D104400,Alpha trait thalassaemia
266,Other anaemias,510131000006116.0,269175006.0,402962015.0,D1045,D104500,Beta thalassaemia trait
267,Other anaemias,501116019.0,269175006.0,402962015.0,D1048,D104800,Beta minor thalassaemia
268,Other anaemias,294148013.0,271737000.0,406636013.0,D2,D2...00,Aplastic and other anaemias
269,Other anaemias,38181000006111.0,271737000.0,406638014.0,D21,D21..00,Other and unspecified anaemias
270,Other anaemias,493120017.0,41841004.0,493120017.0,D210,D210.00,Sideroblastic anaemia
272,Other anaemias,508873014.0,90175006.0,508873014.0,D2101,D210100,Acquired sideroblastic anaemia
273,Other anaemias,294231010.0,191260004.0,294231010.0,D2102,D210200,Pyridoxine-responsive sideroblastic anaemia
274,Other anaemias,294232015.0,191261000.0,294232015.0,D2103,D210300,Secondary sideroblastic anaemia due to disease
275,Other anaemias,294235018.0,191262007.0,294235018.0,D2104,D210400,Secondary sideroblastic anaemia due to drugs and toxins
276,Other anaemias,294236017.0,41841004.0,493120017.0,D210z,D210z00,Sideroblastic anaemia NOS
279,Other anaemias,294245016.0,191265009.0,294245016.0,D212,D212.00,Anaemia in neoplastic disease
281,Other anaemias,344913019.0,109996008.0,344913019.0,D213,D213.00,Refractory anaemia
282,Other anaemias,294251014.0,191268006.0,294251014.0,D214,D214.00,Chronic anaemia
283,Other anaemias,454255014.0,310647000.0,454255014.0,D215,D215.00,Anaemia secondary to renal failure
284,Other anaemias,480871000006117.0,49708008.0,495474017.0,D2150,D215000,Anaemia of chronic renal failure
285,Other anaemias,15581000006119.0,271737000.0,406638014.0,D21y,D21y.00,Other specified anaemias
289,Other anaemias,745101000006113.0,2694001.0,483387010.0,D21y2,D21y200,Leukoerythroblastic anaemia
291,Other anaemias,294275014.0,271737000.0,406638014.0,D21yy,D21yy00,Other specified other anaemia
292,Other anaemias,294278011.0,271737000.0,406636013.0,D21yz,D21yz00,Other specified anaemia NOS
293,Other anaemias,399230013.0,271737000.0,406638014.0,D21z,D21z.00,Anaemia
294,Other anaemias,351071018.0,271737000.0,406638014.0,D21z-1,D21z.11,Anaemia
295,Other anaemias,351067016.0,300980002.0,442184016.0,D21z-2,D21z.12,Normocytic anaemia
296,Other anaemias,351097012.0,83414005.0,505602015.0,D21z-3,D21z.13,Macrocytic anemia
297,Other anaemias,294290013.0,271737000.0,406638014.0,D2y,D2y..00,Other specified anaemias
298,Other anaemias,294291012.0,271737000.0,406638014.0,D2z,D2z..00,Anaemia
299,Other anaemias,294564014.0,66612000.0,500483015.0,Dyu0,Dyu0.00,Nutritional anaemia
300,Other anaemias,294603013.0,234347009.0,351077019.0,Dyu22,Dyu2200,Anaemia of chronic disease
301,Other anaemias,294607014.0,271737000.0,406636013.0,Dyu24,Dyu2400,[X]Other specified anaemias
303,Other anaemias,494753011.0,47100003.0,494753011.0,Q456,Q456.00,Anaemia of prematurity
305,Respiratory failure,345396012.0,230499002.0,345396012.0,Fy04,Fy04.00,Sleep-related respiratory failure
306,Respiratory failure,2471399010.0,409622000.0,2471399010.0,H59,H59..00,Respiratory failure
307,Respiratory failure,67242018.0,39871006.0,67242018.0,H591,H591.00,Chronic respiratory failure
308,Respiratory failure,618361000000112.0,428173007.0,3038448017.0,H592,H592.00,Chronic type 1 respiratory failure
309,Respiratory failure,618371000000117.0,426896000.0,3038584014.0,H593,H593.00,Chronic type 2 respiratory failure
